date,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SPM_mean
2011-01-01,18.875,23.833,4.958,0.0,29.542
2011-01-02,14.417,18.417,4.0,0.0,22.125
2011-01-03,9.083,9.583,0.5,0.0,3.0
2011-01-04,14.174,19.174,5.0,0.0,9.917
2011-01-05,12.292,15.958,3.667,0.0,4.125
2011-01-06,22.917,34.583,11.667,0.0,12.083
2011-01-07,19.042,23.625,4.583,0.0,6.5
2011-01-08,13.042,15.167,2.125,0.0,7.208
2011-01-09,25.417,40.333,14.917,0.0,29.458
2011-01-10,20.542,40.292,19.75,0.0,23.792
2011-01-11,17.478,34.348,16.87,0.0,15.583
2011-01-12,18.833,29.042,10.208,0.0,11.292
2011-01-13,27.833,58.708,30.875,0.0,20.208
2011-01-14,16.833,23.083,6.25,0.0,14.292
2011-01-15,16.792,23.375,6.583,0.0,22.625
2011-01-16,13.667,14.625,0.958,0.0,16.958
2011-01-17,9.75,10.75,1.0,0.0,6.875
2011-01-18,24.652,42.13,17.478,0.0,24.0
2011-01-19,17.913,32.783,14.87,0.0,30.696
2011-01-20,20.458,22.125,1.667,18.0,21.0
2011-01-21,18.583,20.125,1.542,20.0,11.583
2011-01-22,17.958,21.708,3.75,25.0,14.167
2011-01-23,17.167,33.667,16.5,5.0,17.917
2011-01-24,14.667,19.542,4.875,8.0,8.75
2011-01-25,22.043,49.87,27.826,0.0,20.667
2011-01-26,19.458,26.167,6.708,0.0,12.667
2011-01-27,19.0,34.542,15.542,0.0,14.5
2011-01-28,15.708,21.333,5.625,0.0,13.708
2011-01-29,11.0,11.375,0.375,0.0,4.958
2011-01-30,15.167,20.75,5.583,0.0,6.25
2011-01-31,24.125,43.25,19.125,0.0,13.292
2011-02-01,10.875,13.312,2.438,0.0,13.647
2011-02-02,10.083,10.667,0.583,0.0,4.435
2011-02-03,21.083,28.875,7.792,0.0,15.542
2011-02-04,16.292,25.25,8.958,0.0,11.25
2011-02-05,16.75,18.417,1.667,0.0,26.333
2011-02-06,31.042,55.667,24.625,8.0,53.958
2011-02-07,20.739,32.087,11.348,58.0,43.625
2011-02-08,16.522,19.261,2.739,0.0,11.208
2011-02-09,21.875,36.167,14.292,0.0,13.833
2011-02-10,24.333,43.083,18.75,0.0,17.5
2011-02-11,14.0,16.917,2.917,0.0,15.917
2011-02-12,14.583,16.042,1.458,0.0,12.792
2011-02-13,24.167,31.208,7.042,0.0,23.708
2011-02-14,30.083,41.5,11.417,8.0,43.174
2011-02-15,31.13,45.522,14.391,1.0,42.375
2011-02-16,13.625,15.167,1.542,1.0,19.292
2011-02-17,18.042,24.375,6.333,7.0,23.167
2011-02-18,10.625,11.458,0.833,0.0,8.292
2011-02-19,15.417,19.667,4.25,0.0,13.167
2011-02-20,22.167,35.833,13.667,0.0,21.5
2011-02-21,22.75,36.625,13.875,0.0,18.417
2011-02-22,10.435,10.957,0.522,0.0,27.292
2011-02-23,34.0,46.417,12.417,33.0,44.875
2011-02-24,12.833,14.125,1.292,0.0,25.25
2011-02-25,13.958,15.083,1.125,12.0,20.958
2011-02-26,9.333,9.667,0.333,0.0,5.792
2011-02-27,13.667,14.542,0.875,0.0,9.375
2011-02-28,5.875,6.333,0.458,0.0,5.792
2011-03-01,21.083,27.0,5.917,0.0,25.958
2011-03-02,16.208,17.542,1.333,23.0,16.583
2011-03-03,7.375,7.542,0.167,2.0,13.5
2011-03-04,3.625,3.625,0.0,0.0,16.083
2011-03-05,27.458,34.292,6.833,36.0,19.625
2011-03-06,18.292,30.25,11.958,11.0,35.208
2011-03-07,9.13,10.348,1.217,0.0,25.348
2011-03-08,8.792,8.875,0.083,4.0,19.083
2011-03-09,16.375,16.917,0.542,39.0,17.75
2011-03-10,11.583,11.75,0.167,26.0,4.25
2011-03-11,5.042,5.583,0.542,0.0,11.125
2011-03-12,13.667,17.667,4.0,0.0,6.292
2011-03-13,14.042,16.583,2.542,0.0,5.083
2011-03-14,13.682,16.318,2.636,0.0,9.0
2011-03-15,18.583,27.958,9.375,0.0,18.5
2011-03-16,12.75,19.667,6.917,0.0,15.792
2011-03-17,22.042,38.75,16.708,16.0,27.792
2011-03-18,17.125,21.542,4.417,2.0,41.917
2011-03-19,14.375,15.708,1.333,0.0,15.708
2011-03-20,19.0,22.375,3.375,1.0,22.333
2011-03-21,14.913,16.565,1.652,0.0,9.391
2011-03-22,31.042,42.625,11.583,0.0,31.875
2011-03-23,36.792,54.0,17.208,22.0,50.667
2011-03-24,15.375,18.583,3.208,10.0,19.292
2011-03-25,12.25,14.5,2.25,0.0,7.667
2011-03-26,16.458,21.417,4.958,0.0,11.458
2011-03-27,18.208,23.542,5.333,0.0,14.042
2011-03-28,16.478,24.391,7.913,0.0,26.652
2011-03-29,13.125,15.042,1.917,0.0,13.708
2011-03-30,4.542,5.375,0.833,0.0,21.667
2011-03-31,4.917,5.083,0.167,7.0,22.25
2011-04-06,,,,0.0,20.444
2011-04-07,,,,0.0,19.292
2011-04-08,,,,0.0,42.812
2011-04-09,,,,3.0,
2011-04-10,,,,0.0,
2011-04-11,,,,1.0,
2011-04-12,,,,1.0,
2011-04-13,,,,0.0,
2011-04-14,,,,0.0,
2011-04-15,,,,1.0,
2011-04-16,,,,0.0,
2011-04-17,,,,0.0,
2011-04-18,,,,0.0,
2011-04-19,,,,25.0,
2011-04-20,,,,0.0,
2011-04-21,,,,0.0,
2011-04-22,,,,0.0,
2011-04-23,,,,27.0,
2011-04-24,,,,1.0,
2011-04-25,,,,0.0,
2011-04-26,,,,0.0,
2011-04-27,,,,0.0,
2011-04-28,,,,5.0,
2011-04-29,,,,0.0,
2011-04-30,,,,0.0,
2011-05-01,,,,1.0,
2011-05-02,,,,0.0,
2011-05-03,,,,1.0,
2011-05-04,,,,0.0,
2011-05-05,,,,0.0,
2011-05-06,,,,0.0,
2011-05-07,,,,2.0,
2011-05-08,,,,0.0,
2011-05-09,,,,0.0,
2011-05-10,,,,13.0,
2011-05-11,,,,60.0,
2011-05-12,,,,27.0,
2011-05-13,,,,0.0,
2011-05-14,,,,0.0,
2011-05-15,,,,0.0,
2011-05-16,,,,0.0,
2011-05-17,,,,6.0,
2011-05-18,,,,0.0,
2011-05-19,,,,0.0,
2011-05-20,,,,0.0,
2011-05-21,,,,0.0,
2011-05-22,,,,4.0,
2011-05-23,,,,1.0,
2011-05-24,,,,29.0,
2011-05-25,,,,0.0,
2011-05-26,,,,0.0,
2011-05-27,5.875,7.375,1.5,2.0,14.125
2011-05-28,9.667,10.417,0.75,30.0,10.083
2011-05-29,3.125,3.25,0.125,62.0,2.75
2011-05-30,8.917,9.75,0.833,17.0,7.167
2011-05-31,4.75,4.917,0.167,0.0,14.208
