date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,7.375,9.208333333333334,1.8333333333333333,,3.25,21.125
2011-01-02,7.5,9.708333333333334,2.2083333333333335,,3.0833333333333335,11.833333333333334
2011-01-03,7.041666666666667,9.0,1.9583333333333333,,5.0,26.0
2011-01-04,5.625,7.666666666666667,2.0416666666666665,,3.2916666666666665,14.916666666666666
2011-01-05,7.4,9.5,2.1,,3.2916666666666665,15.304347826086957
2011-01-06,,,,,5.416666666666667,13.291666666666666
2011-01-07,,,,,3.5416666666666665,9.833333333333334
2011-01-08,,,,,4.208333333333333,12.0
2011-01-09,,,,,7.416666666666667,31.25
2011-01-10,,,,,6.708333333333333,43.583333333333336
2011-01-11,,,,,4.75,23.583333333333332
2011-01-12,,,,,4.416666666666667,12.25
2011-01-13,,,,,6.75,21.166666666666668
2011-01-14,,,,,7.416666666666667,29.791666666666668
2011-01-15,,,,,3.375,16.583333333333332
2011-01-16,,,,,2.7916666666666665,15.041666666666666
2011-01-17,,,,,2.625,8.291666666666666
2011-01-18,,,,,5.291666666666667,10.541666666666666
2011-01-19,,,,,4.166666666666667,15.708333333333334
2011-01-20,5.076923076923077,5.916666666666667,0.8333333333333334,,2.125,6.541666666666667
2011-01-21,9.416666666666666,9.75,0.3333333333333333,,2.5416666666666665,8.75
2011-01-22,7.833333333333333,8.416666666666666,0.5833333333333334,,3.6666666666666665,11.041666666666666
2011-01-23,4.208333333333333,4.583333333333333,0.375,,3.5416666666666665,7.125
2011-01-24,2.375,2.6666666666666665,0.2916666666666667,,3.1666666666666665,9.25
2011-01-25,3.7916666666666665,4.333333333333333,0.5416666666666666,,4.958333333333333,16.625
2011-01-26,4.041666666666667,4.5,0.4583333333333333,,4.791666666666667,9.541666666666666
2011-01-27,3.7083333333333335,4.166666666666667,0.4583333333333333,,6.375,20.5
2011-01-28,2.9583333333333335,3.2916666666666665,0.3333333333333333,,4.25,28.208333333333332
2011-01-29,2.2916666666666665,2.5833333333333335,0.2916666666666667,,3.5416666666666665,15.791666666666666
2011-01-30,4.291666666666667,4.791666666666667,0.5,,4.458333333333333,12.583333333333334
2011-01-31,4.75,5.375,0.625,,5.583333333333333,15.583333333333334
